PERMNO,date,TICKER,COMNAM,PRC,CFACPR
10107,20010206,MSFT,MICROSOFT CORP,62.5625,2
10107,20010207,MSFT,MICROSOFT CORP,64.6875,2
10107,20010208,MSFT,MICROSOFT CORP,62.25,2
10107,20010209,MSFT,MICROSOFT CORP,59.125,2
10107,20010212,MSFT,MICROSOFT CORP,58.75,2
10107,20010213,MSFT,MICROSOFT CORP,58.1875,2
10107,20010214,MSFT,MICROSOFT CORP,58.375,2
10107,20010215,MSFT,MICROSOFT CORP,58.8125,2
10107,20010216,MSFT,MICROSOFT CORP,57.3125,2
10107,20010220,MSFT,MICROSOFT CORP,55.875,2
10107,20010221,MSFT,MICROSOFT CORP,56.25,2
10107,20010222,MSFT,MICROSOFT CORP,55.1875,2
10107,20010223,MSFT,MICROSOFT CORP,56.75,2
10107,20010226,MSFT,MICROSOFT CORP,59.5625,2
10107,20010227,MSFT,MICROSOFT CORP,59.375,2
10107,20010228,MSFT,MICROSOFT CORP,59,2
10107,20010301,MSFT,MICROSOFT CORP,59.35938,2
10107,20010302,MSFT,MICROSOFT CORP,56.6875,2
10107,20010305,MSFT,MICROSOFT CORP,57.4375,2
10107,20010306,MSFT,MICROSOFT CORP,59.4375,2
10107,20010307,MSFT,MICROSOFT CORP,60.6875,2
10107,20010308,MSFT,MICROSOFT CORP,59.25,2
10107,20010309,MSFT,MICROSOFT CORP,56.6875,2
10107,20010312,MSFT,MICROSOFT CORP,51.9375,2
10107,20010313,MSFT,MICROSOFT CORP,54.1875,2
10107,20010314,MSFT,MICROSOFT CORP,54,2
10107,20010315,MSFT,MICROSOFT CORP,53.6875,2
10107,20010316,MSFT,MICROSOFT CORP,54.5625,2
10107,20010319,MSFT,MICROSOFT CORP,54.3125,2
10107,20010320,MSFT,MICROSOFT CORP,52.6875,2
10107,20010321,MSFT,MICROSOFT CORP,50.0625,2
10107,20010322,MSFT,MICROSOFT CORP,54,2
10107,20010323,MSFT,MICROSOFT CORP,56.5625,2
10107,20010326,MSFT,MICROSOFT CORP,56.0625,2
10107,20010327,MSFT,MICROSOFT CORP,58.25,2
10107,20010328,MSFT,MICROSOFT CORP,55.5625,2
10107,20010329,MSFT,MICROSOFT CORP,55.375,2
10107,20010330,MSFT,MICROSOFT CORP,54.6875,2
10107,20010402,MSFT,MICROSOFT CORP,55.8125,2
10107,20010403,MSFT,MICROSOFT CORP,53.375,2
10107,20010404,MSFT,MICROSOFT CORP,51.9375,2
10107,20010405,MSFT,MICROSOFT CORP,56.75,2
10107,20010406,MSFT,MICROSOFT CORP,56.1875,2
10107,20010409,MSFT,MICROSOFT CORP,57.15,2
10107,20010410,MSFT,MICROSOFT CORP,59.68,2
10107,20010411,MSFT,MICROSOFT CORP,60.04,2
10107,20010412,MSFT,MICROSOFT CORP,62.18,2
10107,20010416,MSFT,MICROSOFT CORP,60.79,2
10107,20010417,MSFT,MICROSOFT CORP,61.48,2
10107,20010418,MSFT,MICROSOFT CORP,65.43,2
10107,20010419,MSFT,MICROSOFT CORP,68.04,2
